msoa_code,msoa_name,msoa_name_welsh,la_code,la_name,la_name_welsh
W02000308,Caerphilly 019,Caerffili 019,W06000018,Caerphilly,Caerffili
W02000309,Caerphilly 020,Caerffili 020,W06000018,Caerphilly,Caerffili
W02000310,Caerphilly 021,Caerffili 021,W06000018,Caerphilly,Caerffili
W02000311,Caerphilly 022,Caerffili 022,W06000018,Caerphilly,Caerffili
W02000312,Caerphilly 023,Caerffili 023,W06000018,Caerphilly,Caerffili
W02000313,Caerphilly 024,Caerffili 024,W06000018,Caerphilly,Caerffili
W02000314,Blaenau Gwent 001,Blaenau Gwent 001,W06000019,Blaenau Gwent,Blaenau Gwent
W02000315,Blaenau Gwent 002,Blaenau Gwent 002,W06000019,Blaenau Gwent,Blaenau Gwent
W02000316,Blaenau Gwent 003,Blaenau Gwent 003,W06000019,Blaenau Gwent,Blaenau Gwent
W02000317,Blaenau Gwent 004,Blaenau Gwent 004,W06000019,Blaenau Gwent,Blaenau Gwent
W02000318,Blaenau Gwent 005,Blaenau Gwent 005,W06000019,Blaenau Gwent,Blaenau Gwent
W02000319,Blaenau Gwent 006,Blaenau Gwent 006,W06000019,Blaenau Gwent,Blaenau Gwent
W02000320,Blaenau Gwent 007,Blaenau Gwent 007,W06000019,Blaenau Gwent,Blaenau Gwent
W02000321,Blaenau Gwent 008,Blaenau Gwent 008,W06000019,Blaenau Gwent,Blaenau Gwent
W02000322,Blaenau Gwent 009,Blaenau Gwent 009,W06000019,Blaenau Gwent,Blaenau Gwent
W02000323,Torfaen 001,Tor-faen 001,W06000020,Torfaen,Torfaen
W02000324,Torfaen 002,Tor-faen 002,W06000020,Torfaen,Torfaen
W02000325,Torfaen 003,Tor-faen 003,W06000020,Torfaen,Torfaen
W02000326,Torfaen 004,Tor-faen 004,W06000020,Torfaen,Torfaen
W02000327,Torfaen 005,Tor-faen 005,W06000020,Torfaen,Torfaen
W02000328,Torfaen 006,Tor-faen 006,W06000020,Torfaen,Torfaen
W02000329,Torfaen 007,Tor-faen 007,W06000020,Torfaen,Torfaen
W02000330,Torfaen 008,Tor-faen 008,W06000020,Torfaen,Torfaen
W02000331,Torfaen 009,Tor-faen 009,W06000020,Torfaen,Torfaen
W02000332,Torfaen 010,Tor-faen 010,W06000020,Torfaen,Torfaen
W02000333,Torfaen 011,Tor-faen 011,W06000020,Torfaen,Torfaen
W02000334,Torfaen 012,Tor-faen 012,W06000020,Torfaen,Torfaen
W02000335,Torfaen 013,Tor-faen 013,W06000020,Torfaen,Torfaen
W02000336,Monmouthshire 001,Sir Fynwy 001,W06000021,Monmouthshire,Sir Fynwy
W02000337,Monmouthshire 002,Sir Fynwy 002,W06000021,Monmouthshire,Sir Fynwy
W02000338,Monmouthshire 003,Sir Fynwy 003,W06000021,Monmouthshire,Sir Fynwy
W02000339,Monmouthshire 004,Sir Fynwy 004,W06000021,Monmouthshire,Sir Fynwy
W02000340,Monmouthshire 005,Sir Fynwy 005,W06000021,Monmouthshire,Sir Fynwy
W02000341,Monmouthshire 006,Sir Fynwy 006,W06000021,Monmouthshire,Sir Fynwy
W02000342,Monmouthshire 007,Sir Fynwy 007,W06000021,Monmouthshire,Sir Fynwy
W02000343,Monmouthshire 008,Sir Fynwy 008,W06000021,Monmouthshire,Sir Fynwy
W02000344,Monmouthshire 009,Sir Fynwy 009,W06000021,Monmouthshire,Sir Fynwy
W02000345,Monmouthshire 010,Sir Fynwy 010,W06000021,Monmouthshire,Sir Fynwy
W02000346,Monmouthshire 011,Sir Fynwy 011,W06000021,Monmouthshire,Sir Fynwy
W02000347,Newport 001,Casnewydd 001,W06000022,Newport,Casnewydd
W02000348,Newport 002,Casnewydd 002,W06000022,Newport,Casnewydd
W02000349,Newport 003,Casnewydd 003,W06000022,Newport,Casnewydd
W02000350,Newport 004,Casnewydd 004,W06000022,Newport,Casnewydd
W02000351,Newport 005,Casnewydd 005,W06000022,Newport,Casnewydd
W02000352,Newport 006,Casnewydd 006,W06000022,Newport,Casnewydd
W02000353,Newport 007,Casnewydd 007,W06000022,Newport,Casnewydd
W02000354,Newport 008,Casnewydd 008,W06000022,Newport,Casnewydd
W02000355,Newport 009,Casnewydd 009,W06000022,Newport,Casnewydd
W02000356,Newport 010,Casnewydd 010,W06000022,Newport,Casnewydd
W02000357,Newport 011,Casnewydd 011,W06000022,Newport,Casnewydd
W02000358,Newport 012,Casnewydd 012,W06000022,Newport,Casnewydd
W02000359,Newport 013,Casnewydd 013,W06000022,Newport,Casnewydd
W02000360,Newport 014,Casnewydd 014,W06000022,Newport,Casnewydd
W02000361,Newport 015,Casnewydd 015,W06000022,Newport,Casnewydd
W02000362,Newport 016,Casnewydd 016,W06000022,Newport,Casnewydd
W02000363,Newport 017,Casnewydd 017,W06000022,Newport,Casnewydd
W02000364,Newport 018,Casnewydd 018,W06000022,Newport,Casnewydd
W02000365,Newport 019,Casnewydd 019,W06000022,Newport,Casnewydd
W02000366,Newport 020,Casnewydd 020,W06000022,Newport,Casnewydd
W02000367,Cardiff 001,Caerdydd 001,W06000015,Cardiff,Caerdydd
W02000368,Cardiff 002,Caerdydd 002,W06000015,Cardiff,Caerdydd
W02000369,Cardiff 003,Caerdydd 003,W06000015,Cardiff,Caerdydd
W02000370,Cardiff 004,Caerdydd 004,W06000015,Cardiff,Caerdydd
W02000371,Cardiff 005,Caerdydd 005,W06000015,Cardiff,Caerdydd
W02000372,Cardiff 006,Caerdydd 006,W06000015,Cardiff,Caerdydd
W02000373,Cardiff 007,Caerdydd 007,W06000015,Cardiff,Caerdydd
W02000374,Cardiff 008,Caerdydd 008,W06000015,Cardiff,Caerdydd
W02000375,Cardiff 009,Caerdydd 009,W06000015,Cardiff,Caerdydd
W02000376,Cardiff 010,Caerdydd 010,W06000015,Cardiff,Caerdydd
W02000377,Cardiff 011,Caerdydd 011,W06000015,Cardiff,Caerdydd
W02000378,Cardiff 012,Caerdydd 012,W06000015,Cardiff,Caerdydd
W02000379,Cardiff 013,Caerdydd 013,W06000015,Cardiff,Caerdydd
W02000380,Cardiff 014,Caerdydd 014,W06000015,Cardiff,Caerdydd
W02000381,Cardiff 015,Caerdydd 015,W06000015,Cardiff,Caerdydd
W02000382,Cardiff 016,Caerdydd 016,W06000015,Cardiff,Caerdydd
W02000383,Cardiff 017,Caerdydd 017,W06000015,Cardiff,Caerdydd
W02000384,Cardiff 018,Caerdydd 018,W06000015,Cardiff,Caerdydd
W02000385,Cardiff 019,Caerdydd 019,W06000015,Cardiff,Caerdydd
W02000386,Cardiff 020,Caerdydd 020,W06000015,Cardiff,Caerdydd
W02000387,Cardiff 021,Caerdydd 021,W06000015,Cardiff,Caerdydd
W02000388,Cardiff 022,Caerdydd 022,W06000015,Cardiff,Caerdydd
W02000389,Cardiff 023,Caerdydd 023,W06000015,Cardiff,Caerdydd
W02000390,Cardiff 024,Caerdydd 024,W06000015,Cardiff,Caerdydd
W02000391,Cardiff 025,Caerdydd 025,W06000015,Cardiff,Caerdydd
W02000392,Cardiff 026,Caerdydd 026,W06000015,Cardiff,Caerdydd
W02000393,Cardiff 027,Caerdydd 027,W06000015,Cardiff,Caerdydd
W02000394,Cardiff 028,Caerdydd 028,W06000015,Cardiff,Caerdydd
W02000395,Cardiff 029,Caerdydd 029,W06000015,Cardiff,Caerdydd
W02000396,Cardiff 030,Caerdydd 030,W06000015,Cardiff,Caerdydd
W02000397,Cardiff 031,Caerdydd 031,W06000015,Cardiff,Caerdydd
W02000398,Cardiff 032,Caerdydd 032,W06000015,Cardiff,Caerdydd
W02000399,Cardiff 033,Caerdydd 033,W06000015,Cardiff,Caerdydd
W02000400,Cardiff 034,Caerdydd 034,W06000015,Cardiff,Caerdydd
W02000401,Cardiff 035,Caerdydd 035,W06000015,Cardiff,Caerdydd
W02000402,Cardiff 036,Caerdydd 036,W06000015,Cardiff,Caerdydd
W02000403,Cardiff 037,Caerdydd 037,W06000015,Cardiff,Caerdydd
W02000404,Cardiff 038,Caerdydd 038,W06000015,Cardiff,Caerdydd
W02000405,Cardiff 039,Caerdydd 039,W06000015,Cardiff,Caerdydd
W02000406,Cardiff 040,Caerdydd 040,W06000015,Cardiff,Caerdydd
W02000407,Cardiff 041,Caerdydd 041,W06000015,Cardiff,Caerdydd
W02000408,Cardiff 042,Caerdydd 042,W06000015,Cardiff,Caerdydd
W02000409,Cardiff 043,Caerdydd 043,W06000015,Cardiff,Caerdydd
W02000410,Cardiff 044,Caerdydd 044,W06000015,Cardiff,Caerdydd
W02000411,Cardiff 045,Caerdydd 045,W06000015,Cardiff,Caerdydd
W02000412,Cardiff 046,Caerdydd 046,W06000015,Cardiff,Caerdydd
W02000414,Powys 020,Powys 020,W06000023,Powys,Powys
W02000415,Merthyr Tydfil 008,Merthyr Tudful 008,W06000024,Merthyr Tydfil,Merthyr Tudful
W02000416,Powys 021,Powys 021,W06000023,Powys,Powys
W02000417,Neath Port Talbot 020,Castell-nedd Port Talbot 020,W06000012,Neath Port Talbot,Castell-nedd Port Talbot
W02000418,Carmarthenshire 027,Sir Gaerfyrddin 027,W06000010,Carmarthenshire,Sir Gaerfyrddin
W02000419,Denbighshire 017,Sir Ddinbych 017,W06000004,Denbighshire,Sir Ddinbych
W02000421,Ceredigion 011,Ceredigion 011,W06000008,Ceredigion,Ceredigion
W02000422,Cardiff 048,Caerdydd 048,W06000015,Cardiff,Caerdydd
W02000423,Cardiff 049,Caerdydd 049,W06000015,Cardiff,Caerdydd
W02000424,Wrexham 021,Wrecsam 021,W06000006,Wrexham,Wrecsam
W02000425,Wrexham 022,Wrecsam 022,W06000006,Wrexham,Wrecsam
W02000426,Wrexham 023,Wrecsam 023,W06000006,Wrexham,Wrecsam
W02000427,Neath Port Talbot 021,Castell-nedd Port Talbot 021,W06000012,Neath Port Talbot,Castell-nedd Port Talbot
W02000428,Swansea 032,Abertawe 032,W06000011,Swansea,Abertawe
